ticket_text,true_tag,zero_shot_pred,zero_shot_top3,few_shot_pred,few_shot_top3
My internet connection is very slow and keeps disconnecting,technical issue,technical issue,"[('technical issue', 0.772585928440094), ('account access', 0.1404372602701187), ('delivery issue', 0.04622289538383484)]",technical issue,"[('technical issue', 0.5421267151832581), ('account access', 0.17130860686302185), ('delivery issue', 0.11553052812814713)]"
I was charged twice for my monthly subscription,billing issue,subscription,"[('subscription', 0.5160489678382874), ('billing issue', 0.41963258385658264), ('account access', 0.04586881771683693)]",billing issue,"[('billing issue', 0.333524614572525), ('technical issue', 0.29567912220954895), ('account access', 0.14149844646453857)]"
I cannot log into my account even after resetting my password,account access,account access,"[('account access', 0.8940738439559937), ('technical issue', 0.05977145954966545), ('subscription', 0.021330419927835464)]",account access,"[('account access', 0.4281228184700012), ('technical issue', 0.31865566968917847), ('subscription', 0.108452707529068)]"
The app crashes every time I try to upload a file,technical issue,technical issue,"[('technical issue', 0.6979901194572449), ('delivery issue', 0.25346335768699646), ('subscription', 0.0204825047403574)]",technical issue,"[('technical issue', 0.7552521824836731), ('account access', 0.09901414066553116), ('subscription', 0.060380496084690094)]"
Please cancel my subscription immediately,subscription,subscription,"[('subscription', 0.8295723795890808), ('billing issue', 0.09213020652532578), ('delivery issue', 0.034985803067684174)]",technical issue,"[('technical issue', 0.4054335057735443), ('subscription', 0.1847507506608963), ('account access', 0.1652679741382599)]"
I want a refund because I was billed incorrectly,billing issue,billing issue,"[('billing issue', 0.9681553840637207), ('account access', 0.011520834639668465), ('subscription', 0.007555953226983547)]",billing issue,"[('billing issue', 0.34477269649505615), ('technical issue', 0.29281169176101685), ('account access', 0.15440239012241364)]"
The website is showing a server error,technical issue,technical issue,"[('technical issue', 0.8368865847587585), ('delivery issue', 0.15409116446971893), ('account access', 0.003597710281610489)]",technical issue,"[('technical issue', 0.44836822152137756), ('account access', 0.16943253576755524), ('delivery issue', 0.16089698672294617)]"
I forgot my password and cannot access my dashboard,account access,account access,"[('account access', 0.5541284084320068), ('technical issue', 0.36760008335113525), ('delivery issue', 0.04883269593119621)]",account access,"[('account access', 0.4164717197418213), ('technical issue', 0.28366079926490784), ('subscription', 0.10265553742647171)]"
My payment did not go through but money was deducted,billing issue,billing issue,"[('billing issue', 0.5331099033355713), ('delivery issue', 0.2817952334880829), ('account access', 0.08031968772411346)]",technical issue,"[('technical issue', 0.2688199281692505), ('billing issue', 0.26696258783340454), ('account access', 0.21113240718841553)]"
The mobile app is not opening on my phone,technical issue,technical issue,"[('technical issue', 0.8057905435562134), ('delivery issue', 0.09738446772098541), ('account access', 0.061595965176820755)]",technical issue,"[('technical issue', 0.6260846257209778), ('account access', 0.10697512328624725), ('subscription', 0.09594478458166122)]"
How do I change my plan from basic to premium?,subscription,billing issue,"[('billing issue', 0.3083367943763733), ('subscription', 0.25359758734703064), ('technical issue', 0.2154664248228073)]",technical issue,"[('technical issue', 0.31432247161865234), ('account access', 0.22602203488349915), ('subscription', 0.1998313069343567)]"
My order has not arrived yet and tracking is not updating,delivery issue,delivery issue,"[('delivery issue', 0.7676041722297668), ('technical issue', 0.18012581765651703), ('billing issue', 0.025142280384898186)]",delivery issue,"[('delivery issue', 0.5033230185508728), ('technical issue', 0.26160141825675964), ('billing issue', 0.09888885170221329)]"
